Files,TTR,Word Length,Word Count,Top 10 Words,Top 10 Bigrams,Top 10 Trigrams
Our Song,0.40540540540540543,3.9324324324324325,370,"[('song', 8), ('late,', 6), ('got', 5), (""don't"", 4), (""'cause"", 4), ('way', 4), (""didn't"", 4), ('play', 4), ('front', 3), ('slamming', 3)]","[(8, ('our', 'song')), (6, ('song', 'is')), (6, ('is', 'the')), (4, ('play', 'it')), (4, ('on', 'the')), (4, ('it', 'again')), (4, ('i', 'was')), (4, ('and', 'i')), (3, ('window', 'when')), (3, ('when', ""we're""))]","[(6, ('song', 'is', 'the')), (6, ('our', 'song', 'is')), (4, ('play', 'it', 'again')), (3, ('window', 'when', ""we're"")), (3, ('when', ""we're"", 'on')), (3, ('when', 'i', 'got')), (3, (""we're"", 'on', 'the')), (3, ('the', 'slamming', 'screen')), (3, ('the', 'phone', 'and')), (3, ('the', 'first', 'date'))]"
Midnights (2022),0.2262464722483537,4.1180620884289745,4252,"[('like', 50), (""it's"", 50), (""i'm"", 47), ('just', 27), (""don't"", 25), ('karma', 23), ('love', 22), ('coming', 22), (""'cause"", 21), ('down,', 20)]","[(27, ('in', 'the')), (22, ('on', 'the')), (22, ('it', 'was')), (21, ('in', 'love')), (21, ('falling', 'in')), (20, ('karma', 'is')), (17, ('like', 'snow')), (17, (""it's"", 'coming')), (15, (""i'm"", 'falling')), (15, ('coming', 'down'))]","[(21, ('falling', 'in', 'love')), (15, (""it's"", 'coming', 'down')), (15, (""i'm"", 'falling', 'in')), (13, ('down', ""it's"", 'coming')), (12, ('coming', 'down', ""it's"")), (11, ('snow', 'on', 'the')), (11, ('on', 'the', 'beach')), (11, ('like', 'snow', 'on')), (10, ('oh', ""i'm"", 'falling')), (9, ('the', 'beach', 'like'))]"
Lavender Haze,0.3849056603773585,3.7849056603773583,265,"[('lavender', 9), ('haze', 8), ('just', 7), ('get', 6), ('wanna', 5), ('stay', 5), ('say', 4), ('shit', 4), (""i'm"", 4), ('talk', 4)]","[(9, ('lavender', 'haze')), (7, ('i', 'just')), (6, ('that', 'lavender')), (6, ('it', 'off')), (6, ('get', 'it')), (5, ('wanna', 'stay')), (5, ('just', 'wanna')), (4, ('stay', 'in')), (4, ('me', 'i')), (4, ('in', 'that'))]","[(6, ('that', 'lavender', 'haze')), (6, ('get', 'it', 'off')), (5, ('just', 'wanna', 'stay')), (5, ('i', 'just', 'wanna')), (4, ('wanna', 'stay', 'in')), (4, ('stay', 'in', 'that')), (4, ('in', 'that', 'lavender')), (3, ('your', 'chest', 'get')), (3, ('what', 'people', 'say')), (3, ('want', 'from', 'me'))]"
Maroon,0.38571428571428573,4.057142857142857,350,"[('maroon', 8), ('scarlet,', 6), (""that's"", 4), ('burgundy', 3), ('t-shirt', 3), ('splashed', 3), ('wine', 3), ('blood', 3), ('rushed', 3), ('cheeks', 3)]","[(11, ('it', 'was')), (9, ('was', 'maroon')), (6, ('so', 'scarlet')), (6, ('scarlet', 'it')), (6, ('on', 'my')), (4, ('how', 'the')), (4, ('and', 'i')), (3, ('your', 'wine')), (3, ('you', 'splashed')), (3, ('with', 'your'))]","[(9, ('it', 'was', 'maroon')), (6, ('so', 'scarlet', 'it')), (6, ('scarlet', 'it', 'was')), (3, ('your', 'wine', 'into')), (3, ('you', 'splashed', 'your')), (3, ('wine', 'into', 'me')), (3, ('when', 'you', 'splashed')), (3, ('was', 'maroon', 'the')), (3, ('used', 'to', 'call')), (3, ('to', 'call', 'home'))]"
Anti-Hero,0.47289156626506024,4.340361445783133,332,"[(""it's"", 13), ('problem,', 7), ('hi', 6), (""i'm"", 6), ('everybody', 6), (""i'll"", 5), ('agrees', 5), ('time)', 4), ('teatime', 3), ('stare', 3)]","[(13, (""it's"", 'me')), (7, ('the', 'problem')), (7, ('problem', ""it's"")), (7, (""i'm"", 'the')), (6, ('me', 'hi')), (6, ('for', 'the')), (6, ('everybody', 'agrees')), (5, ('in', 'the')), (5, ('hi', ""i'm"")), (4, ('but', 'never'))]","[(7, ('the', 'problem', ""it's"")), (7, ('problem', ""it's"", 'me')), (7, (""i'm"", 'the', 'problem')), (6, (""it's"", 'me', 'hi')), (5, ('hi', ""i'm"", 'the')), (4, ('me', 'hi', ""i'm"")), (3, ('the', 'sun', 'but')), (3, ('the', 'mirror', 'it')), (3, ('sun', 'but', 'never')), (3, ('stare', 'directly', 'at'))]"
Snow On The Beach,0.37567567567567567,4.2405405405405405,370,"[(""it's"", 24), ('like', 21), ('snow', 15), ('down,', 15), ('coming', 15), ('beach', 14), ('flying', 4), ('feels', 4), (""comin'"", 4), ('sound,', 4)]","[(17, ('like', 'snow')), (15, (""it's"", 'coming')), (15, ('coming', 'down')), (14, ('the', 'beach')), (13, ('down', ""it's"")), (11, ('snow', 'on')), (11, ('on', 'the')), (9, ('beach', 'like')), (4, ('sound', ""it's"")), (4, ('no', 'sound'))]","[(15, (""it's"", 'coming', 'down')), (13, ('down', ""it's"", 'coming')), (12, ('coming', 'down', ""it's"")), (11, ('snow', 'on', 'the')), (11, ('on', 'the', 'beach')), (11, ('like', 'snow', 'on')), (9, ('the', 'beach', 'like')), (9, ('beach', 'like', 'snow')), (4, ('sound', ""it's"", 'all')), (4, ('no', 'sound', ""it's""))]"
"You're On Your Own, Kid",0.59,4.173333333333333,300,"[(""you're"", 5), ('own,', 4), ('kid', 4), ('take', 4), ('just', 3), ('sprinkler', 3), ('splashes', 3), ('fireplace', 3), ('ashes', 3), ('play', 2)]","[(4, ('your', 'own')), (4, (""you're"", 'on')), (4, ('own', 'kid')), (4, ('on', 'your')), (3, ('you', 'always')), (3, ('to', 'fireplace')), (3, ('sprinkler', 'splashes')), (3, ('splashes', 'to')), (3, ('kid', 'you')), (3, ('have', 'been'))]","[(4, ('your', 'own', 'kid')), (4, (""you're"", 'on', 'your')), (4, ('on', 'your', 'own')), (3, ('you', 'always', 'have')), (3, ('to', 'fireplace', 'ashes')), (3, ('sprinkler', 'splashes', 'to')), (3, ('splashes', 'to', 'fireplace')), (3, ('own', 'kid', 'you')), (3, ('kid', 'you', 'always')), (3, ('from', 'sprinkler', 'splashes'))]"
Midnight Rain,0.41935483870967744,4.172043010752688,279,"[('wanted', 13), ('like', 7), ('midnight', 6), ('comfortable,', 4), ('pain', 4), ('bride,', 4), ('making', 4), ('own', 4), ('name', 4), ('chasing', 4)]","[(8, ('he', 'wanted')), (6, ('i', 'was')), (5, ('of', 'me')), (4, ('was', 'making')), (4, ('wanted', 'that')), (4, ('wanted', 'it')), (4, ('wanted', 'a')), (4, ('the', 'same')), (4, ('that', 'pain')), (4, ('that', 'fame'))]","[(4, ('was', 'making', 'my')), (4, ('wanted', 'that', 'pain')), (4, ('wanted', 'it', 'comfortable')), (4, ('wanted', 'a', 'bride')), (4, ('the', 'same', 'all')), (4, ('that', 'pain', 'he')), (4, ('that', 'fame', 'he')), (4, ('stayed', 'the', 'same')), (4, ('same', 'all', 'of')), (4, ('rain', 'he', 'wanted'))]"
Question...?,0.39631336405529954,4.027649769585254,434,"[('just', 6), ('oh', 6), ('wish', 6), ('ask', 4), ('crowded', 4), ('making', 4), ('fun', 4), ('her?', 4), ('question?', 3), ('kiss', 3)]","[(13, ('did', 'you')), (7, ('a', 'question')), (6, ('you', 'wish')), (5, ('it', 'was')), (4, ('you', 'a')), (4, ('was', 'making')), (4, ('of', 'you')), (4, ('of', 'a')), (4, ('more', 'of')), (4, ('making', 'fun'))]","[(4, ('you', 'a', 'question')), (4, ('was', 'making', 'fun')), (4, ('of', 'a', 'fight')), (4, ('more', 'of', 'a')), (4, ('making', 'fun', 'of')), (4, ('in', 'a', 'crowded')), (4, ('i', 'ask', 'you')), (4, ('fun', 'of', 'you')), (4, ('can', 'i', 'ask')), (4, ('ask', 'you', 'a'))]"
Vigilante Shit,0.5134099616858238,4.099616858237548,261,"[(""don't"", 12), ('dress', 6), ('get', 6), ('lately', 5), ('revenge', 5), ('dressing', 4), (""i've"", 3), ('start', 3), ('shit,', 3), ('tell', 3)]","[(7, ('i', ""don't"")), (6, ('dress', 'for')), (6, (""don't"", 'dress')), (5, ('for', 'revenge')), (4, ('on', 'the')), (4, ('dressing', 'for')), (4, ('been', 'dressing')), (3, ('you', 'how')), (3, ('the', 'weekends')), (3, ('tell', 'you'))]","[(6, (""don't"", 'dress', 'for')), (5, ('i', ""don't"", 'dress')), (4, ('dressing', 'for', 'revenge')), (4, ('been', 'dressing', 'for')), (3, ('you', 'how', 'it')), (3, ('tell', 'you', 'how')), (3, ('start', 'shit', 'but')), (3, ('so', 'on', 'the')), (3, ('sad', 'get', 'even')), (3, ('on', 'the', 'weekends'))]"
Bejeweled,0.34523809523809523,3.919047619047619,420,"[('polish', 7), (""don't"", 6), ('real', 6), (""i'm"", 5), ('girl', 5), ('best', 4), ('believe', 4), ('bejeweled', 4), ('walk', 4), ('room', 4)]","[(10, ('when', 'i')), (8, ('in', 'the')), (7, ('polish', 'up')), (7, ('i', 'polish')), (6, ('up', 'real')), (5, ('i', 'can')), (5, ('a', 'girl')), (4, ('whole', 'place')), (4, ('walk', 'in')), (4, ('the', 'whole'))]","[(7, ('i', 'polish', 'up')), (6, ('polish', 'up', 'real')), (4, ('whole', 'place', 'shimmer')), (4, ('when', 'i', 'walk')), (4, ('walk', 'in', 'the')), (4, ('the', 'whole', 'place')), (4, ('the', 'room', 'i')), (4, ('still', 'make', 'the')), (4, ('still', 'bejeweled', 'when')), (4, ('room', 'i', 'can'))]"
Labyrinth,0.3308550185873606,4.197026022304833,269,"[('love', 17), (""i'm"", 15), ('falling', 15), ('oh,', 10), ('right', 7), ('break', 6), ('(falling', 6), ('uh-oh,', 5), ('no,', 5), ('thought', 5)]","[(21, ('in', 'love')), (21, ('falling', 'in')), (15, (""i'm"", 'falling')), (10, ('oh', ""i'm"")), (7, ('love', 'again')), (5, ('you', 'turn')), (5, ('was', 'going')), (5, ('uh', 'oh')), (5, ('turn', 'it')), (5, ('thought', 'the'))]","[(21, ('falling', 'in', 'love')), (15, (""i'm"", 'falling', 'in')), (10, ('oh', ""i'm"", 'falling')), (7, ('in', 'love', 'again')), (5, ('you', 'turn', 'it')), (5, ('was', 'going', 'down')), (5, ('uh', 'oh', ""i'm"")), (5, ('turn', 'it', 'right')), (5, ('thought', 'the', 'plane')), (5, ('the', 'plane', 'was'))]"
Karma,0.39313984168865435,4.073878627968337,379,"[('karma', 23), ('like', 11), (""'cause"", 8), (""it's"", 6), ('boyfriend', 4), ('god', 4), (""karma's"", 4), ('relaxing', 4), ('thought', 4), ('sweet', 4)]","[(20, ('karma', 'is')), (9, ('is', 'a')), (6, ('in', 'my')), (5, ('my', 'boyfriend')), (5, ('is', 'the')), (5, ('is', 'my')), (5, ('boyfriend', 'karma')), (4, ('what', 'i')), (4, ('sweet', 'like')), (4, ('relaxing', 'thought'))]","[(9, ('karma', 'is', 'a')), (5, ('my', 'boyfriend', 'karma')), (5, ('karma', 'is', 'the')), (5, ('karma', 'is', 'my')), (5, ('is', 'my', 'boyfriend')), (5, ('boyfriend', 'karma', 'is')), (4, ('is', 'a', 'god')), (4, ('a', 'relaxing', 'thought')), (4, (""'cause"", 'karma', 'is')), (3, ('you', ""it's"", 'not'))]"
Sweet Nothing,0.4349442379182156,4.5427509293680295,269,"[('sweet', 7), ('ooh', 5), ('said', 5), ('end', 5), ('home', 5), (""they're"", 5), ('push', 5), ('kitchen', 5), ('coming', 4), (""everyone's"", 4)]","[(5, (""you're"", 'in')), (5, ('up', 'to')), (5, ('to', 'something')), (5, (""they're"", 'push')), (5, ('they', 'said')), (5, ('the', 'kitchen')), (5, ('the', 'end')), (5, ('said', 'the')), (5, ('push', 'and')), (5, ('outside', ""they're""))]","[(5, (""you're"", 'in', 'the')), (5, ('up', 'to', 'something')), (5, (""they're"", 'push', 'and')), (5, ('they', 'said', 'the')), (5, ('the', 'kitchen', 'humming')), (5, ('the', 'end', 'is')), (5, ('said', 'the', 'end')), (5, ('push', 'and', 'shoving')), (5, ('outside', ""they're"", 'push')), (5, ('in', 'the', 'kitchen'))]"
Mastermind,0.42857142857142855,3.875,336,"[(""i'm"", 8), ('mastermind', 6), ('told', 5), (""'cause"", 5), ('time', 4), ('saw', 4), ('accidental', 3), ('night', 3), ('laid', 3), ('groundwork', 3)]","[(6, (""i'm"", 'a')), (6, ('and', 'the')), (6, ('a', 'mastermind')), (5, ('told', 'you')), (5, ('it', 'was')), (5, ('i', 'told')), (4, ('what', 'if')), (4, ('the', 'first')), (4, ('if', 'i')), (3, (""you're"", 'mine'))]","[(6, (""i'm"", 'a', 'mastermind')), (5, ('i', 'told', 'you')), (4, ('what', 'if', 'i')), (4, ('if', 'i', 'told')), (3, ('you', 'saw', 'me')), (3, ('you', 'none', 'of')), (3, ('was', 'accidental', 'and')), (3, ('told', 'you', 'none')), (3, ('the', 'groundwork', 'and')), (3, ('the', 'first', 'night'))]"
